atomic_number,name,symbol,atomic_mass,density,melting_point,boiling_point,atomic_radius,covalent_radius,specific_volume,specific_heat,heat_fusion,heat_evaporation,thermal_conductivity,pauling_electronegativity,first_ionisation_energy,oxidation_states,electronic_configuration,lattice,lattice_constant,group,period,electron_affinity,atomic_polarisability,van_der_waals_volume,van_der_waals_radius,mcgowan_parameter,sanderson_electronegativity,hexcode
1,Hydrogen,H,1.00794, 0.0708 (@ -253degC),14.01,20.28,79.0,0.37,14.1,14.267 (H-H), 0.117 (H-H), 0.904 (H-H),0.1815,2.2,13.590713582422138, 1 -1, 1s¹, HEX,3.75,1.0,1,0.7565942892677618,0.67,6.7088208462585435,1.17,8.71,2.59,#FFFFFF
2,Helium,He,4.0026019999999995, 0.147 (@ -270degC),0.95,4.216,0.0,,31.8,5.188,,0.08,0.152,,24.473234181478986,, 1s², HEX,3.57,18.0,1,0.0,,,,,,#D9FFFF
3,Lithium,Li,6.941,0.534,553.69,1118.15,155.0,1.34,13.1,3.489,2.89,148,84.8,0.98,5.388402342333005,1, [He]2s¹, BCC,3.49,1.0,2,0.6218583199461056,24.3,25.25240658728869,1.82,,0.89,#CC80FF
4,Beryllium,Be,9.01218,1.848,1551.0,3243.0,112.0,0.9,5.0,1.824,12.21,309,201,1.57,9.315437632792662,2, [He]2s², HEX,2.29,2.0,2,0.0,5.6,0.0,0.0,,1.81,#C2FF00
5,Boron,B,10.811,2.34,2573.0,3931.0,98.0,0.82,4.6,1.025,23.6,504.5,27.4,2.04,8.293517127014564,3, [He]2s²2p¹, TET,8.73,13.0,2,0.2798362439757475,3.03,17.808758841775074,1.62,,2.28,#FFB5B5
6,Carbon,C,12.011, 2.25 (graphite),3820.0,5100.0,91.0,0.77,5.3,0.711,,,1.59,2.55,11.25252629942478, 4 2 -4, [He]2s²2p², DIA,3.57,14.0,2,1.5961030211950045,1.76,22.449297503777064,1.75,16.35,2.75,#909090
7,Nitrogen,N,14.006739999999999, 0.808 (@ -195.8degC),63.29,77.4,92.0,0.75,17.3,1.042 (N-N),,,0.026,3.04,14.525573923407785, 5 4 3 2 -3, [He]2s²2p³, HEX,4.039,15.0,2,0.07255013732704567,1.1,15.598531123848925,1.55,14.39,3.19,#3050F8
8,Oxygen,O,15.9994, 1.149 (@ -183degC),54.8,90.19,,0.73,14.0,0.916 (O-O),,,0.027,3.44,13.609369332020519, -2 -1, [He]2s²2p, CUB,6.83,16.0,2,1.461367051873348,0.8,11.494040321933856,1.4,12.43,3.65,#FF0D0D
9,Fluorine,F,18.998403, 1.108 (@ -189degC),53.53,85.01,,0.71,17.1,0.824 (F-F), 0.51 (F-F), 6.54 (F-F),0.028,3.98,17.412032958490958,-1, [He]2s²2p, MCL,,17.0,2,3.3994921490387107,0.56,9.202772079915704,1.3,10.48,4.0,#90E050
10,Neon,Ne,20.1797, 1.204 (@ -246degC),48.0,27.1,,0.71,16.8,1.029,,1.74,<0.0493>,0.0,21.551536508265535,, [He]2s²2p, FCC,4.43,18.0,2,0.0,,,,,,#B3E3F5
11,Sodium,Na,22.989767999999998,0.971,370.96,1156.1,190.0,1.54,23.7,1.222,2.64,97.9,142,0.93,5.1365497227548325,1, [Ne]3s¹, BCC,4.23,1.0,3,0.54930818261906,23.6,48.99662669497342,2.27,,0.56,#AB5CF2
12,Magnesium,Mg,24.305,1.738,922.0,1363.0,160.0,1.3,14.0,1.025,9.2,131.8,156,1.31,7.641602321604394,2, [Ne]3s², HEX,3.21,2.0,3,0.0,10.6,21.68837025275597,1.73,,1.32,#8AFF00
13,Aluminum,Al,26.981539,2.6989,933.5,2740.0,143.0,1.18,10.0,0.9,10.75,284.1,237,1.61,5.982277037881538,3, [Ne]3s²3p¹, FCC,4.05,13.0,3,0.445665129294709,6.8,36.61763323284495,2.06,,1.71,#BFA6A6
14,Silicon,Si,28.0855,2.33,1683.0,2628.0,132.0,1.11,12.1,0.703,50.6,383,149,1.9,8.146343991293984, 4 -4, [Ne]3s²3p², DIA,5.43,14.0,3,1.3888169145463023,5.38,32.024863534338344,1.97,,2.14,#F0C8A0
15,Phosphorus,P,30.973762, 1.82 (white phosphorus),317.3,553.0,128.0,1.06,17.0,0.757,2.51,49.8,<0.236>,2.19,10.480385552158367, 5 3 -3, [Ne]3s²3p³, CUB,7.17,15.0,3,0.7462299839353267,3.63,26.52184878038064,1.85,24.87,2.52,#FF8000
16,Sulfur,S,32.066,2.07,386.0,717.824,127.0,1.02,15.5,0.732,1.23,10.5,0.27,2.58,10.35394102710266, 6 4 2 -2, [Ne]3s²3p, ORC,10.47,16.0,3,2.0728610664870186,2.9,24.429024474314232,1.8,22.91,2.96,#FFFF30
17,Chlorine,Cl,35.4527, 1.56 (@ -33.6degC),172.2,238.6,,0.99,18.7, 0.477 (Cl-Cl), 6.41 (Cl-Cl), 20.41 (Cl-Cl),0.009,3.16,13.006166761672802, 7 5 3 1 -1, [Ne]3s²3p, ORC,6.24,17.0,3,3.617142561019848,2.18,22.449297503777064,1.75,20.95,3.48,#1FF01F
18,Argon,Ar,39.948, 1.40 (@ -186degC),83.8,87.3,,0.98,24.2,0.138,,6.52,0.0177,0.0,15.749598383168369,, [Ne]3s²3p, FCC,5.26,18.0,3,0.0,,,,,,#80D1E3
19,Potassium,K,39.0983,0.856,336.8,1047.0,235.0,1.96,45.3,0.753,102.5,2.33,79,0.82,4.3374617816240875,1, [Ar]4s¹, BCC,5.23,1.0,4,0.4974866559568845,43.4,87.11374629016693,2.75,,0.45,#8F40D4
20,Calcium,Ca,40.078,1.55,1112.0,1757.0,197.0,1.74,29.9,0.653,9.2,153.6,<201>,1.0,6.108721562937244,2, [Ar]4s², FCC,5.58,2.0,4,0.020728610664870188,22.8,0.0,0.0,,0.95,#3DFF00
21,Scandium,Sc,44.955909999999996,2.99,1814.0,3104.0,162.0,1.44,15.0,0.556,15.8,332.7,15.8,1.36,6.537803803700057,3, [Ar]3d¹4s², HEX,3.31,3.0,4,0.18655749598383167,,,,,,#E6E6E6
22,Titanium,Ti,47.88,4.54,1933.0,3560.0,147.0,1.32,10.6,0.523,18.8,422.6,21.9,1.54,6.817640047675804, 4 3, [Ar]3d²4s², HEX,2.95,4.0,4,0.08291444265948075,,,,,,#BFC2C7
23,Vanadium,V,50.9415,6.11,2160.0,3650.0,134.0,1.22,8.35,0.485,17.5,460,30.7,1.63,6.737834896616055, 5 4 3 2 0, [Ar]3d³4s², BCC,3.02,5.0,4,0.5285795719541898,,,,,,#A6A6AB
24,Chromium,Cr,51.9961,7.18,2130.0,2945.0,130.0,1.27,7.23,0.488,21,342,93.9,1.66,6.761672798880656, 6 3 2 0, [Ar]3d4s¹, BCC,2.88,6.0,4,0.663315541275846,11.6,44.6022381005655,2.2,,1.66,#8A99C7
25,Manganese,Mn,54.93805,7.21,1517.0,2235.0,135.0,1.39,7.39,0.477,-13.4,221,<7.8>,1.55,7.429134062289474, 7 6 4 3 2 0 -1, [Ar]3d4s², CUB,8.89,7.0,4,0.0,9.4,43.39683832091453,2.18,,2.2,#9C7AC7
26,Iron,Fe,55.847,7.874,1808.0,3023.0,126.0,1.25,7.1,0.443,13.8, ~340,80.4,1.83,7.86754417785148, 6 3 2 0 -2, [Ar]3d4s², BCC,2.87,8.0,4,0.1658288853189615,8.4,41.05158495073707,2.14,,2.2,#E06633
27,Cobalt,Co,58.9332,8.9,1768.0,3143.0,125.0,1.26,6.7,0.456,15.48,389.1,100,1.88,7.857179872519045, 3 2 0 -1, [Ar]3d4s², HEX,2.51,9.0,4,0.663315541275846,7.5,35.041018676455586,2.03,,2.56,#F090A0
28,Nickel,Ni,58.6934,8.902,1726.0,3005.0,124.0,1.21,6.6,0.443,17.61,378.6,90.9,1.91,7.6302015857387175, 3 2 0, [Ar]3d4s², FCC,3.52,10.0,4,1.1608021972327305,6.8,17.15728467880506,1.6,,1.94,#50D050
29,Copper,Cu,63.54600000000001,8.96,1356.6,2840.0,128.0,1.38,7.1,0.385,13.01,304.6,401,1.9,7.721407472664144, 2 1, [Ar]3d¹4s¹, FCC,3.61,11.0,4,1.2229880292273407,6.1,11.494040321933856,1.4,,1.95,#C88033
30,Zinc,Zn,65.39,7.133,692.73,1180.0,138.0,1.31,9.2,0.388,7.28,114.8,116,1.65,9.387987770119707,2, [Ar]3d¹4s², HEX,2.66,12.0,4,0.0,7.1,11.249494560988223,1.39,,2.23,#7D80B0
31,Gallium,Ga,69.723,5.91,302.93,2676.0,141.0,1.26,11.8,0.372,5.59,270.3,28.1,1.81,5.997823495880189,3, [Ar]3d¹4s²4p¹, ORC,4.51,13.0,4,0.3005648546406177,8.12,27.391349473509788,1.87,,2.42,#C28F8F
32,Germanium,Ge,72.61,5.323,1210.6,3103.0,137.0,1.22,13.6,0.322,36.8,328,60.2,2.01,7.876872052650671,4, [Ar]3d¹4s²4p², DIA,5.66,14.0,4,1.2333523345597759,6.07,28.73091201462985,1.9,,2.62,#668F8F
33,Arsenic,As,74.92159000000002, 5.73 (grey arsenic),1090.0,876.0,139.0,1.19,13.1,0.328,,32.4,<50.2>,2.18,9.806705705550087, 5 3 -2, [Ar]3d¹4s²4p³, RHL,4.13,15.0,4,0.8084158159299373,4.31,26.52184878038064,1.85,,2.82,#BD80E3
34,Selenium,Se,78.96,4.79,490.0,958.1,140.0,1.16,16.5,0.321 (Se-Se),5.23,59.7,0.52,2.55,9.746592734621961, 6 4 -2, [Ar]3d¹4s²4p, HEX,4.36,16.0,4,2.021039539824843,3.73,28.73091201462985,1.9,,3.01,#FFA100
35,Bromine,Br,79.904,3.12,265.9,331.9,,1.14,23.5,0.473 (Br-Br), 10.57 (Br-Br), 29.56 (Br-Br),0.005,2.96,11.836036689640878, 7 5 3 1 -1, [Ar]3d¹4s²4p, ORC,6.67,17.0,4,3.368399233041405,3.05,31.059355769715484,1.95,26.21,3.22,#A62929
36,Krypton,Kr,83.8, 2.155 (@ -153degC),116.6,120.85,,1.12,32.2,0.247,,9.05,0.0095,0.0,13.991812198787375,2, [Ar]3d¹4s²4p, FCC,5.72,18.0,4,0.0,,,,,,#5CB8D1
37,Rubidium,Rb,85.4678,1.532,312.2,961.0,248.0,2.11,55.9,0.36,2.2,75.8,58.2,0.82,4.174742187904855,1, [Kr]5s¹, BCC,5.59,1.0,5,0.4871223506244494,47.3,0.0,0.0,,0.31,#702EB0
38,Strontium,Sr,87.62,2.54,1042.0,1657.0,215.0,1.92,33.7,0.301,9.2,144,<35.4>,0.95,5.690003627506868,2, [Kr]5s², FCC,6.08,2.0,5,0.05182152666217547,27.6,0.0,0.0,,0.72,#00FF00
39,Yttrium,Y,88.90585,4.47,1795.0,3611.0,178.0,1.62,19.8,0.284,11.5,367,<17.2>,1.22,6.378193501580556,3, [Kr]4d¹5s², HEX,3.65,3.0,5,0.3109291599730528,,,,,,#94FFFF
40,Zirconium,Zr,91.22399999999999,6.506,2125.0,4650.0,160.0,1.45,14.1,0.281,19.2,567,22.7,1.33,6.837332227807432,4, [Kr]4d²5s², HEX,3.23,4.0,5,0.4249365186298388,,,,,,#94E0E0
41,Niobium,Nb,92.90638,8.57,2741.0,5015.0,146.0,1.34,10.8,0.268,26.8,680,53.7,1.6,6.877753018603928, 5 3, [Kr]4d5s¹, BCC,3.3,5.0,5,0.8913302585894181,,,,,,#73C2C9
42,Molybdenum,Mo,95.94,10.22,2890.0,4885.0,139.0,1.45,9.4,0.251,28, ~590,<138>,2.16,7.0974762916515495, 6 5 4 3 2 0, [Kr]4d5s¹, BCC,3.15,6.0,5,0.7462299839353267,12.8,33.510321638291124,2.0,,1.15,#54B5B5
43,Technetium,Tc,97.9072,11.5,2445.0,5150.0,136.0,1.27,8.5,0.243,23.8,585,50.6,1.9,7.277815204435923,7, [Kr]4d5s¹, HEX,2.74,7.0,5,0.54930818261906,,,,,,#3B9E9E
44,Ruthenium,Ru,101.07,12.41,2583.0,4173.0,134.0,1.25,8.3,0.238,<25.5>,,117,2.2,7.361766077628647, 8 6 4 3 2 0 -2, [Kr]4d5s¹, HEX,2.7,8.0,5,1.0467948385759445,,,,,,#248F8F
45,Rhodium,Rh,102.9055,12.41,2239.0,4000.0,134.0,1.25,8.3,0.244,21.8,494,150,2.28,7.45711768668705, 5 4 3 2 1 0, [Kr]4d5s¹, FCC,3.8,9.0,5,1.1400735865678604,,,,,,#0A7D8C
46,Palladium,Pd,106.42,12.02,1825.0,3413.0,137.0,1.28,8.9,0.244,17.24,372.4,71.8,2.2,8.327719334611597, 4 2 0, [Kr]4d5s, FCC,3.89,10.0,5,0.5596724879514949,,,,,,#006985
47,Silver,Ag,107.8682,10.5,1235.1,2485.0,144.0,1.53,10.3,0.237,11.95,254.1,429,1.93,7.571125045343836, 2 1, [Kr]4d5s¹, FCC,4.09,11.0,5,1.3059024718868215,7.2,21.3144411399649,1.72,,1.83,#C0C0C0
48,Cadmium,Cd,112.411,8.65,594.1,1038.0,154.0,1.48,13.1,0.232,6.11,59.1,96.9,1.69,8.987925584287712,2, [Kr]4d5s², HEX,2.98,12.0,5,0.0,7.2,16.52189547022142,1.58,,1.98,#FFD98F
49,Indium,In,114.818,7.31,429.32,2353.0,166.0,1.44,15.7,0.234,3.24,225.1,81.8,1.78,5.783282375498782,3, [Kr]4d5s²5p¹, TET,4.59,13.0,5,0.3005648546406177,10.2,30.11345154325103,1.93,,2.14,#A67573
50,Tin,Sn,118.71,7.31,505.1,2543.0,162.0,1.41,16.3,0.222,7.07,296,66.8,1.96,7.340001036430534, 4 2, [Kr]4d5s²5p², TET,5.82,14.0,5,1.108980670570555,7.7,45.82975469249774,2.22,,2.3,#668080
51,Antimony,Sb,121.76,6.691,903.9,1908.0,159.0,1.38,18.4,0.205,20.08,195.2,24.43,2.05,8.636575633518161, 5 3 -2, [Kr]4d5s²5p³, RHL,4.51,15.0,5,1.0675234492408143,6.6,38.792386086526776,2.1,,2.46,#9E63B5
52,Tellurium,Te,127.6,6.24,722.7,1263.0,160.0,1.35,20.5,0.201,17.91,49.8,14.3,2.1,9.006581333886094, 6 4 2, [Kr]4d5s²5p, HEX,4.45,16.0,5,1.9692180131626684,5.5,36.61763323284495,2.06,,2.62,#D47A00
53,Iodine,I,126.90446999999999,4.93,386.7,457.5,,1.33,25.7,0.427 (I-I), 15.52 (I-I), 41.95 (I-I),<0.45>,2.66,10.450329066694305, 7 5 1 -1, [Kr]4d5s²5p, ORC,7.72,17.0,5,3.0574700730683526,5.35,38.792386086526776,2.1,34.53,2.78,#940094
54,Xenon,Xe,131.29, 3.52 (@ -109degC),161.3,166.1,,1.31,42.9,0.158,,12.65,0.0057,0.0,12.126237238949061,7, [Kr]4d5s²5p, FCC,6.2,18.0,5,0.0,,,,,,#429EB0
55,Cesium,Cs,132.90543,1.873,301.6,951.6,267.0,2.35,70.0,0.241,2.09,68.3,35.9,0.79,3.8917966523293774,1, [Xe]6s¹, BCC,6.05,1.0,6,0.4767580452920143,,,,,,#57178F
56,Barium,Ba,137.327,3.5,1002.0,1910.0,222.0,1.98,39.0,0.192,7.66,142,<18.4>,0.89,5.208063429548634,2, [Xe]6s², BCC,5.02,2.0,6,0.1451002746540913,,,,,,#00C900
57,Lanthanum,La,138.9055,6.15,1194.0,3730.0,187.0,1.69,22.5,0.197,8.5,402,13.4,1.1,5.608125615380629,3, [Xe]6d¹6s², HEX,3.75,,6,0.4974866559568845,,,,,,#70D4FF
58,Cerium,Ce,140.115,6.757,1072.0,3699.0,181.0,1.65,21.0,0.205,5.2,398,11.3,1.12,5.5977613100481936, 4 3, [Xe]4f¹5d¹6s², FCC,5.16,,6,0.5182152666217547,,,,,,#FFFFC7
59,Praseodymium,Pr,140.90765,6.773,1204.0,3785.0,182.0,1.65,20.8,0.192,11.3,331,12.5,1.13,5.4578431880603215, 4 3, [Xe]4f³5d6s², HEX,3.67,,6,0.5182152666217547,,,,,,#D9FFC7
60,Neodymium,Nd,144.24,7.007,1294.0,3341.0,182.0,1.84,20.6,0.205,7.1,289,<16.5>,1.14,5.5086282841892515,3, [Xe]4f5d6s², HEX,3.66,,6,0.5182152666217547,,,,,,#C7FFC7
61,Promethium,Pm,144.9127,7.2,1441.0,3000.0,,1.63,,0.185,,,17.9,0.0,5.55526765818521,3, [Xe]4f5d6s²,,,,6,0.5182152666217547,,,,,,#A3FFC7
62,Samarium,Sm,150.36,7.52,1350.0,2064.0,181.0,1.62,19.9,0.18,8.9,165,<13.3>,1.17,5.5977613100481936, 3 2, [Xe]4f5d6s², RHL,9.0,,6,0.5182152666217547,,,,,,#8FFFC7
63,Europium,Eu,151.965,5.243,1095.0,1870.0,199.0,1.85,28.9,0.176,,176,13.9,0.0,5.668238586308753, 3 2, [Xe]4f5d6s², BCC,4.61,,6,0.5182152666217547,,,,,,#61FFC7
64,Gadolinium,Gd,157.25,7.9,1586.0,3539.0,179.0,1.79,19.9,0.23,,398,<10.5>,1.2,6.158470228532933,3, [Xe]4f5d¹6s², HEX,3.64,,6,0.5182152666217547,23.5,72.77595305336445,2.59,,2.0,#45FFC7
65,Terbium,Tb,158.92533999999995,8.229,1629.0,3296.0,180.0,1.59,19.2,0.183,,389,11.1,1.2,5.897289734155568, 4 3, [Xe]4f5d6s², HEX,3.6,,6,0.5182152666217547,,,,,,#30FFC7
66,Dysprosium,Dy,162.5,8.55,1685.0,2835.0,180.0,1.59,19.0,0.173,,291,10.7,,5.876561123490697,3, [Xe]4f5d6s², HEX,3.59,,6,0.5182152666217547,,,,,,#1FFFC7
67,Holmium,Ho,164.93032,8.795,1747.0,2968.0,179.0,1.58,18.7,0.164,,301,<16.2>,1.23,5.9491112608177446,3, [Xe]4f¹¹5d6s², HEX,3.58,,6,0.5182152666217547,,,,,,#00FF9C
68,Erbium,Er,167.26,9.06,1802.0,3136.0,178.0,1.57,18.4,0.168,,317,<14.5>,1.24,6.021661398144789,3, [Xe]4f¹²5d6s², HEX,3.56,,6,0.5182152666217547,,,,,,#000000
69,Thulium,Tm,168.93421,9.321,1818.0,2220.0,177.0,1.56,18.1,0.16,,232,<16.9>,1.25,6.1045758408042685, 3 2, [Xe]4f¹³5d6s², HEX,3.54,,6,0.5182152666217547,,,,,,#00D452
70,Ytterbium,Yb,173.04,6.9654,1097.0,1466.0,194.0,,24.8,0.145,3.35,159,<34.9>,1.1,6.249676115458361, 3 2, [Xe]4f¹5d¹6s², FCC,5.49,,6,0.5182152666217547,,,,,,#00BF38
71,Lutetium,Lu,174.967,9.8404,1936.0,3668.0,175.0,1.56,17.8,0.155,,414,<16.4>,1.27,5.316888635539203,3, [Xe]4f¹5d¹6s², HEX,3.51,3.0,6,0.5182152666217547,,,,,,#00AB24
72,Hafnium,Hf,178.49,13.31,2503.0,5470.0,167.0,1.44,13.6,0.146,-25.1,575,23,1.3,5.961548427216666,4, [Xe]4f¹5d²6s², HEX,3.2,4.0,6,0.0,,,,,,#4DC2FF
73,Tantalum,Ta,180.9479,16.654,3269.0,5698.0,149.0,1.34,10.9,0.14,24.7,758,57.5,1.5,7.877908483183916,5, [Xe]4f¹5d³6s², BCC,3.31,5.0,6,0.3212934653054879,,,,,,#4DA6FF
74,Tungsten,W,183.84,19.3,3680.0,5930.0,141.0,1.3,9.53,0.133,-35,824,173,1.7,7.9774058143752935, 6 5 4 3 2 0, [Xe]4f¹5d6s², BCC,3.16,6.0,6,0.8187801212623724,,,,,,#2194D6
75,Rhenium,Re,186.207,21.02,3453.0,5900.0,137.0,1.28,8.85,0.138,34,704,48,1.9,7.86754417785148, 5 4 3 2 -1, [Xe]4f¹5d6s², HEX,2.76,7.0,6,0.1554645799865264,,,,,,#267DAB
76,Osmium,Os,190.23,22.57,3327.0,5300.0,135.0,1.26,8.43,0.131,31.7,738,<87.6>,2.2,8.49665751153029, 8 6 4 3 2 0 -2, [Xe]4f¹5d6s², HEX,2.74,8.0,6,1.09861636523812,,,,,,#266696
77,Iridium,Ir,192.22,22.42,2683.0,4403.0,136.0,1.27,8.54,0.133,27.61,604,147,2.2,8.997253459086904, 6 4 3 2 1 0 -1, [Xe]4f¹5d6s², FCC,3.84,9.0,6,1.5650101051976992,,,,,,#175487
78,Platinum,Pt,195.08,21.45,2045.0,4100.0,139.0,1.28,9.1,0.133,21.76, ~470,71.6,2.28,8.997253459086904, 4 2 0, [Xe]4f¹5d6s², FCC,3.92,10.0,6,2.124682593149194,6.5,22.449297503777064,1.75,,2.28,#D0D0E0
79,Gold,Au,196.96653999999998,19.3,1337.58,3080.0,146.0,1.44,10.2,0.129,12.68, ~340,318,2.54,9.216976732134526, 3 1, [Xe]4f¹5d¹6s², FCC,4.08,11.0,6,2.311240089133026,5.8,19.160766278593567,1.66,,2.65,#FFD123
80,Mercury,Hg,200.59, 13.546 (@ +20degC),234.28,629.73,157.0,1.49,14.8,0.138,2.295,58.5,8.3,2.0,10.426491164429702, 2 1, [Xe]4f¹5d¹6s², RHL,2.99,12.0,6,0.0,5.7,15.598531123848925,1.55,,2.2,#B8B8D0
81,Thallium,Tl,204.3833,11.85,576.6,1730.0,171.0,1.48,17.2,0.128,4.31,162.4,46.1,1.62,6.1035394102710265, 3 1, [Xe]4f¹5d¹6s²6p¹, HEX,3.46,13.0,6,0.1969218013162668,7.6,31.5396466433865,1.96,,2.25,#A6544D
82,Lead,Pb,207.2,11.35,600.65,2013.0,175.0,1.47,18.3,0.159,4.77,177.8,35.3,1.8,7.4125511737575795, 4 2, [Xe]4f¹5d¹6s²6p², FCC,4.95,14.0,6,0.3627506866352283,6.8,34.525717894252985,2.02,,2.29,#575961
83,Bismuth,Bi,208.98037,9.747,544.5,1883.0,170.0,1.46,21.3,0.124,11,172,7.9,2.02,7.285070218168628, 5 3, [Xe]4f¹5d¹6s²6p³, RHL,4.75,15.0,6,0.9431517852515936,7.4,38.792386086526776,2.1,,2.34,#9E4FB5
84,Polonium,Po,208.9824,9.32,527.0,1235.0,176.0,1.46,22.7,0.125,-10,-102.9,,2.0,8.427216665802975, 6 4 2, [Xe]4f¹5d¹6s²6p, SC,3.35,16.0,6,1.896667875835622,,,,,,#AB5C00
85,Astatine,At,209.9871,,575.0,610.0,,1.45,,,,,,2.2,9.496812976110276, 7 5 3 1 -1, [Xe]4f¹5d¹6s²6p,,,17.0,6,2.798362439757476,,,,,,#754F45
86,Radon,Rn,222.0176, 4.4 (@ -62degC),202.0,211.4,,,,0.094,,18.1,0.0036,,10.742602477068974,, [Xe]4f¹5d¹6s²6p, FCC,,18.0,6,,,,,,,#428296
87,Francium,Fr,223.0197,,300.0,950.0,,,,,15,,,0.7,3.8866144996631604,2, [Rn]7s¹, BCC,,1.0,7,,,,,,,#420066
88,Radium,Ra,226.0254,<5.5>,973.0,1413.0,,,45.0,0.12,-9.6,-113,<18.6>,0.9,5.275431414209463,2, [Rn]7s²,,,2.0,7,,,,,,,#007D00
89,Actinium,Ac,227.0278,,1320.0,3470.0,188.0,,22.54,,-10.5,-292.9,,1.1,6.8974451987355545,3, [Rn]6d¹7s², FCC,5.31,,7,,,,,,,#70ABFA
90,Thorium,Th,232.0381,11.78,2028.0,5060.0,180.0,1.65,19.8,0.113,16.11,513.7,<54>,1.3,6.948230294864486,4, [Rn]5f6d¹7s², FCC,5.08,,7,,,,,,,#00BAFF
91,Protactinium,Pa,231.03588,15.37,2113.0,4300.0,161.0,,15.0,0.121,16.7,481.2,,1.5,, 5 4, [Rn]5f²6d¹7s², TET,3.92,,7,,,,,,,#00A1FF
92,Uranium,U,238.0289,19.05,1405.5,4018.0,138.0,1.42,12.5,0.115,12.6,417,27.5,1.38,7.114059180183448, 6 5 4 3, [Rn]5f³6d¹7s², ORC,2.85,,7,,,,,,,#008FFF
93,Neptunium,Np,237.048,20.25,913.0,4175.0,130.0,,21.1,,-9.6,336,<6.3>,1.36,, 6 5 4 3, [Rn]5f6d¹7s², ORC,4.72,,7,,,,,,,#0080FF
94,Plutonium,Pu,244.0642,19.84,914.0,3505.0,151.0,,,,2.8,343.5,<6.7>,1.28,5.098201793024822, 6 5 4 3, [Rn]5f6d7s², MCL,,,7,,,,,,,#006BFF
95,Americium,Am,243.0614,13.67,1267.0,2880.0,173.0,,20.8,,-10,238.5,,1.3,, 6 5 4 3, [Rn]5f6d7s²,,,,7,,,,,,,#545CF2
96,Curium,Cm,247.0703,13.51,1340.0,,299.0,,18.28,,,,,1.3,6.011297092812352, 4 3, [Rn]5f6d¹7s²,,,,7,,,,,,,#785CE3
97,Berkelium,Bk,247.0703,13.25,,,297.0,,,,,,,1.3,6.218583199461057, 4 3, [Rn]5f6d7s²,,,,7,,,,,,,#8A4FE3
98,Californium,Cf,251.0796,15.1,900.0,,295.0,,,,,,,1.3,6.322226252785407, 4 3, [Rn]5f¹6d7s²,,,,7,,,,,,,#A136D4
99,Einsteinium,Es,252.083,,,1130.0,292.0,,,,,,,1.3,6.425869306109758,3, [Rn]5f¹¹6d7s²,,,,7,,,,,,,#B31FD4
100,Fermium,Fm,257.0951,,1800.0,,290.0,,,,,,,1.3,6.529512359434109,3, [Rn]5f¹²6d7s²,,,,7,,,,,,,#B31FBA
101,Mendelevium,Md,258.1,,1100.0,,287.0,,,,,,,1.3,6.581333886096284,3, [Rn]5f¹³6d7s²,,,,7,,,,,,,#B30DA6
102,Nobelium,No,259.1009,,1100.0,,285.0,,,,,,,1.3,6.63315541275846,32, [Rn]5f¹6d7s²,,,,7,,,,,,,#BD0D87
103,Lawrencium,Lr,262.11,,,,282.0,,,,,,,,,3, [Rn]5f¹6d¹7s²,,,3.0,7,,,,,,,#C70066
104,Rutherfordium,Rf,261.0,,,,,,,,,,,,,, [Rn]5f¹6d²7s²,,,4.0,7,,,,,,,#CC0059
105,Dubnium,Db,262.0,,,,,,,,,,,,,, [Rn]5f¹6d³6s²,,,5.0,7,,,,,,,#D1004F
106,Seaborgium,Sg,266.0,,,,,,,,,,,,,, [Rn]5f¹6d¹7s²,,,6.0,7,,,,,,,#D90045
107,Bohrium,Bh,264.0,,,,,,,,,,,,,,,,,7.0,7,,,,,,,#E00038
108,Hassium,Hs,269.0,,,,,,,,,,,,,,,,,8.0,7,,,,,,,#E6002E
109,Meitnerium,Mt,268.0,,,,,,,,,,,,,,,,,9.0,7,,,,,,,#EB0026
110,Ununnilium,Uun,269.0,,,,,,,,,,,,,,,,,10.0,7,,,,,,,
111,Unununium,Uuu,272.0,,,,,,,,,,,,,,,,,11.0,7,,,,,,,
112,Ununbium,Uub,277.0,,,,,,,,,,,,,,,,,12.0,7,,,,,,,
113,Ununtrium,Uut,,,,,,,,,,,,,,,,,,13.0,7,,,,,,,
114,Ununquadium,Uuq,289.0,,,,,,,,,,,,,,,,,14.0,7,,,,,,,
115,Ununpentium,Uup,,,,,,,,,,,,,,,,,,15.0,7,,,,,,,
116,Ununhexium,Uuh,,,,,,,,,,,,,,,,,,16.0,7,,,,,,,
117,Ununseptium,Uus,,,,,,,,,,,,,,,,,,17.0,7,,,,,,,
118,Ununoctium,Uuo,,,,,,,,,,,,,,,,,,18.0,7,,,,,,,
